inet_ntoa(ipv4),port,DATE(date_tested),reason
106.75.3.242,8000,2019-01-19,101
47.97.176.50,8000,2019-01-20,101
118.126.104.26,8000,2019-01-20,101
185.120.70.114,8080,2019-01-20,101
39.105.214.15,8000,2019-01-20,101
106.75.80.16,8000,2019-01-21,101
182.254.42.48,8000,2019-01-25,101
106.75.98.161,8000,2019-01-27,101
120.77.84.20,8000,2019-01-27,101
91.134.235.162,8080,2019-01-28,101
35.154.159.59,8080,2019-01-28,101
14.63.248.1,8080,2019-01-28,101
182.254.51.17,8000,2019-01-28,101
203.247.145.204,8080,2019-01-28,101
203.247.145.205,8080,2019-01-28,101
223.167.105.31,8000,2019-01-28,101
115.159.218.151,8080,2019-01-28,101
111.231.203.153,8000,2019-01-28,101
211.43.10.100,8080,2019-01-29,101
114.215.201.199,8080,2019-01-29,101
119.29.41.228,8000,2019-01-29,101
119.81.169.203,8080,2019-01-29,101
106.75.100.97,8000,2019-01-29,101
103.3.173.42,8000,2019-01-29,101
118.25.27.75,5555,2019-01-29,101
203.70.19.63,8000,2019-01-29,101
111.231.113.96,8080,2019-01-29,101
163.177.90.35,8000,2019-01-30,101
106.15.88.198,8080,2019-01-30,101
47.107.130.255,8000,2019-01-30,101
106.75.148.163,8000,2019-01-30,101
106.75.98.196,8000,2019-01-31,101
106.75.98.137,8000,2019-01-31,101
115.159.22.136,8000,2019-01-31,101
31.17.228.174,5555,2019-02-02,196
111.161.112.106,8000,2019-02-03,101
203.247.154.203,8080,2019-02-03,101
122.114.229.88,8000,2019-02-04,101
183.232.93.231,8000,2019-02-04,101
128.14.227.27,8000,2019-02-04,101
188.94.232.182,8080,2019-02-05,101
103.25.75.35,8080,2019-02-05,101
106.75.106.63,8000,2019-02-05,101
106.75.100.98,8000,2019-02-05,101
221.226.30.122,8080,2019-02-05,101
47.107.34.164,8000,2019-02-05,101
140.207.123.216,8000,2019-02-06,101
117.50.37.183,8000,2019-02-06,101
117.50.37.214,8000,2019-02-06,101
180.163.21.161,8000,2019-02-06,101
199.193.249.229,8000,2019-02-08,101
182.254.245.69,8000,2019-02-09,101
101.227.162.24,8000,2019-02-09,101
213.168.11.240,8080,2019-02-09,101
175.6.245.159,8000,2019-02-09,101
27.122.224.168,8080,2019-02-10,101
27.122.224.169,8080,2019-02-10,101
118.190.26.152,8080,2019-02-10,126
120.132.23.91,8000,2019-02-10,101
120.132.23.132,8000,2019-02-10,101
120.132.23.85,8000,2019-02-10,101
120.132.23.36,8000,2019-02-10,101
120.132.23.185,8000,2019-02-10,101
47.97.216.146,8000,2019-02-10,101
123.207.0.126,8080,2019-02-10,101
106.75.67.205,8000,2019-02-10,101
47.52.25.68,8000,2019-02-10,101
169.56.82.153,8080,2019-02-10,101
120.132.23.184,8000,2019-02-10,101
123.57.246.95,8000,2019-02-10,101
120.132.23.149,8000,2019-02-10,101
120.132.23.86,8000,2019-02-10,101
121.52.203.123,8000,2019-02-10,101
218.255.7.206,8080,2019-02-11,101
125.215.155.154,8080,2019-02-11,118
211.237.14.82,8080,2019-02-11,101
117.50.18.11,8000,2019-02-11,101
14.63.143.81,8080,2019-02-12,101
103.3.173.22,8000,2019-02-13,101
128.1.131.246,8000,2019-02-13,101
220.73.178.208,8080,2019-02-13,101
220.73.178.206,8080,2019-02-13,101
120.78.124.219,8000,2019-02-14,101
106.75.110.230,8000,2019-02-14,101
111.13.38.105,8000,2019-02-14,101
114.55.105.158,8000,2019-02-14,101
202.66.87.135,8080,2019-02-14,101
182.254.42.64,8000,2019-02-14,101
182.254.42.75,8000,2019-02-14,101
202.238.195.197,8080,2019-02-14,101
183.110.21.109,8080,2019-02-15,101
211.168.238.203,8080,2019-02-15,101
106.75.148.167,8000,2019-02-15,101
106.75.148.157,8000,2019-02-15,101
106.75.148.153,8000,2019-02-15,101
112.175.13.206,8080,2019-02-15,101
52.24.50.170,8080,2019-02-15,101
183.192.199.110,8000,2019-02-15,101
103.213.206.23,8080,2019-02-15,101
120.132.23.118,8000,2019-02-16,101
219.90.127.186,8080,2019-02-16,101
58.251.81.173,8000,2019-02-16,101
211.168.238.204,8080,2019-02-16,101
106.15.89.172,8080,2019-02-23,101
134.175.183.100,8000,2019-02-23,101
118.89.50.113,8000,2019-02-23,101
120.204.11.251,8000,2019-02-24,101
106.75.80.236,8000,2019-02-24,101
106.75.146.61,8000,2019-02-24,101
14.63.143.105,8080,2019-02-24,101
